id	brand_code	brand_name	model_code	model_name	fuel_type	variant_code	variant_name	cubic_capacity	brand_logo	hdfc_code	fuel_type_text	full_name	popular_brand	popular_model	popular_variant
1167	B101	Aprilia	M1001	Caponord 1200 Abs	P	V10001	Caponord 1200 Abs	1197	null	6	Petrol	Aprilia Caponord 1200 Abs Caponord 1200 Abs Petrol	0	1	1
1168	B101	Aprilia	M1002	Caponord 1200 Abs Travel	P	V10002	Caponord 1200 Abs Travel	1197	null	6	Petrol	Aprilia Caponord 1200 Abs Travel Caponord 1200 Abs Travel Petrol	0	1	1
1166	B101	Aprilia	M1003	Dorsoduro 1200 Abs	P	V10003	Dorsoduro 1200 Abs	1197	null	5	Petrol	Aprilia Dorsoduro 1200 Abs Dorsoduro 1200 Abs Petrol	0	1	1
1164	B101	Aprilia	M1004	Mana 850 Abs	P	V10004	Std (840 Cc)	840	null	3	Petrol	Aprilia Mana 850 Abs Std (840 Cc) Petrol	0	1	1
1162	B101	Aprilia	M1005	Mana 850 Gt Abs	P	V10005	Mana 850 Gt Abs	839	null	2	Petrol	Aprilia Mana 850 Gt Abs Mana 850 Gt Abs Petrol	0	1	1
1163	B101	Aprilia	M1005	Mana 850 Gt Abs	P	V10006	Std (840 Cc)	840	null	2	Petrol	Aprilia Mana 850 Gt Abs Std (840 Cc) Petrol	0	1	1
1170	B101	Aprilia	M1006	Rsv4	P	V10007	Factory (1000 Cc)	1000	null	4	Petrol	Aprilia Rsv4 Factory (1000 Cc) Petrol	0	1	1
1171	B101	Aprilia	M1006	Rsv4	P	V10008	Factory Aprc (1000 Cc)	1000	null	4	Petrol	Aprilia Rsv4 Factory Aprc (1000 Cc) Petrol	0	1	1
1172	B101	Aprilia	M1006	Rsv4	P	V10009	Factory Aprc Se (1000 Cc)	1000	null	4	Petrol	Aprilia Rsv4 Factory Aprc Se (1000 Cc) Petrol	0	1	1
1173	B101	Aprilia	M1006	Rsv4	P	V10010	R (1000 Cc)	1000	null	4	Petrol	Aprilia Rsv4 R (1000 Cc) Petrol	0	1	1
1174	B101	Aprilia	M1006	Rsv4	P	V10011	R Aprc (1000 Cc)	1000	null	4	Petrol	Aprilia Rsv4 R Aprc (1000 Cc) Petrol	0	1	1
1175	B101	Aprilia	M1007	Rsv4 Factory Aprc Abs	P	V10012	Rsv4 Factory Aprc Abs	999	null	4	Petrol	Aprilia Rsv4 Factory Aprc Abs Rsv4 Factory Aprc Abs Petrol	0	1	1
1165	B101	Aprilia	M1008	Rsv4 R Aprc Abs	P	V10013	Rsv4 R Aprc Abs	999	null	4	Petrol	Aprilia Rsv4 R Aprc Abs Rsv4 R Aprc Abs Petrol	0	1	1
1303	B101	Aprilia	M1009	Rsv4 Rf	P	V10014	999	999	null	4	PETROL	Aprilia Rsv4 Rf 999 Petrol	0	1	1
2344	B101	Aprilia	M1010	Scarbed	P	V10015	Std	150	null	0	PETROL	Aprilia Scarbed Std Petrol	0	1	1
2345	B101	Aprilia	M1011	Shiver	P	V10016	Std	896	null	0	PETROL	Aprilia Shiver Std Petrol	0	1	1
2346	B101	Aprilia	M1012	Sr	P	V10017	Std	150	null	773	PETROL	Aprilia Sr Std Petrol	0	1	1
860	B101	Aprilia	M1013	Sr 150	P	V10018	Aprilia Sr 150	155	null	0	PETROL	Aprilia Sr 150 Aprilia Sr 150 Petrol	0	1	1
1177	B101	Aprilia	M1014	Srv 850 Abs	P	V10019	Srv 850 Abs	839	null	0	Petrol	Aprilia Srv 850 Abs Srv 850 Abs Petrol	0	1	1
1305	B101	Aprilia	M1015	Tuono V4 1100 Factory	P	V10020	1077	1077	null	7	PETROL	Aprilia Tuono V4 1100 Factory 1077 Petrol	0	1	1
1169	B101	Aprilia	M1016	Tuono V4 R Aprc	P	V10021	Tuono V4 Aprc	999	null	7	Petrol	Aprilia Tuono V4 R Aprc Tuono V4 Aprc Petrol	0	1	1
1178	B102	Bajaj	M1017	Aspire	P	V10022	Std (100 Cc)	100	bajaj.png	51	Petrol	Bajaj Aspire Std (100 Cc) Petrol	1	1	1
19	B102	Bajaj	M1018	Avenger	P	V10023	180 Cc	180		21	PETROL	Bajaj Avenger 180 Cc Petrol	0	1	1
21	B102	Bajaj	M1018	Avenger	P	V10024	200 Cc Dts-i	200		52	PETROL	Bajaj Avenger 200 Cc Dts-i Petrol	0	1	1
20	B102	Bajaj	M1018	Avenger	P	V10025	220 Cc Dts-i	220		72	PETROL	Bajaj Avenger 220 Cc Dts-i Petrol	0	1	1
861	B102	Bajaj	M1018	Avenger	P	V10026	Avenger 150 Street	150		21	PETROL	Bajaj Avenger Avenger 150 Street Petrol	0	1	1
862	B102	Bajaj	M1018	Avenger	P	V10027	Avenger 180 Dtsi	180		52	PETROL	Bajaj Avenger Avenger 180 Dtsi Petrol	0	1	1
1903	B102	Bajaj	M1018	Avenger	P	V10028	Avenger 180 Street	180		0	PETROL	Bajaj Avenger Avenger 180 Street Petrol	0	1	1
863	B102	Bajaj	M1018	Avenger	P	V10029	Avenger 200 Dtsi	200		72	PETROL	Bajaj Avenger Avenger 200 Dtsi Petrol	0	1	1
864	B102	Bajaj	M1018	Avenger	P	V10030	Avenger 220 Cruise	220		72	PETROL	Bajaj Avenger Avenger 220 Cruise Petrol	0	1	1
865	B102	Bajaj	M1018	Avenger	P	V10031	Avenger 220 Dtsi	220		72	PETROL	Bajaj Avenger Avenger 220 Dtsi Petrol	0	1	1
866	B102	Bajaj	M1018	Avenger	P	V10032	Avenger 220 Street	220		72	PETROL	Bajaj Avenger Avenger 220 Street Petrol	0	1	1
1948	B102	Bajaj	M1018	Avenger	P	V10033	Std	180		797	PETROL	Bajaj Avenger Std Petrol	0	1	1
1949	B102	Bajaj	M1018	Avenger	P	V10033	Std	200		72	PETROL	Bajaj Avenger Std Petrol	0	1	1
1950	B102	Bajaj	M1018	Avenger	P	V10033	Std	220		72	PETROL	Bajaj Avenger Std Petrol	0	1	1
74	B102	Bajaj	M1019	Boxer	P	V10036	150 Cc Electric Start	150		81	PETROL	Bajaj Boxer 150 Cc Electric Start Petrol	0	1	1
450	B102	Bajaj	M1019	Boxer	P	V10037	Ar	100		477	PETROL	Bajaj Boxer Ar Petrol	0	1	1
26	B102	Bajaj	M1019	Boxer	P	V10038	At 100 Cc	100		23	PETROL	Bajaj Boxer At 100 Cc Petrol	0	1	1
867	B102	Bajaj	M1019	Boxer	P	V10039	Boxer 100	100		24	PETROL	Bajaj Boxer Boxer 100 Petrol	0	1	1
868	B102	Bajaj	M1019	Boxer	P	V10040	Boxer 150	150		81	PETROL	Bajaj Boxer Boxer 150 Petrol	0	1	1
27	B102	Bajaj	M1019	Boxer	P	V10041	Ct 100cc	100		24	PETROL	Bajaj Boxer Ct 100cc Petrol	0	1	1
25	B102	Bajaj	M1019	Boxer	P	V10042	Std 100 Cc	100		22	PETROL	Bajaj Boxer Std 100 Cc Petrol	0	1	1
1968	B102	Bajaj	M1020	Boxer 150	P	V10043	Electric Start Drum Brake Spoke Wheel	150		81	PETROL	Bajaj Boxer 150 Electric Start Drum Brake Spoke Wheel Petrol	0	1	1
1969	B102	Bajaj	M1021	Bravo	P	V10044	Std	145		56	PETROL	Bajaj Bravo Std Petrol	0	1	1
28	B102	Bajaj	M1022	Byk	P	V10045	M	92		25	PETROL	Bajaj Byk M Petrol	0	1	1
29	B102	Bajaj	M1022	Byk	P	V10046	Std	92		26	PETROL	Bajaj Byk Std Petrol	0	1	1
75	B102	Bajaj	M1023	Caliber	P	V10047	115 Cc	111		27	PETROL	Bajaj Caliber 115 Cc Petrol	0	1	1
869	B102	Bajaj	M1023	Caliber	P	V10048	Caliber	111		27	PETROL	Bajaj Caliber Caliber Petrol	0	1	1
1179	B102	Bajaj	M1023	Caliber	P	V10049	Caliber 115 (111 Cc)	111		27	Petrol	Bajaj Caliber Caliber 115 (111 Cc) Petrol	0	1	1
1180	B102	Bajaj	M1023	Caliber	P	V10050	Croma (111 Cc)	111		28	Petrol	Bajaj Caliber Croma (111 Cc) Petrol	0	1	1
76	B102	Bajaj	M1023	Caliber	P	V10051	Croma 111 Cc	111		28	PETROL	Bajaj Caliber Croma 111 Cc Petrol	0	1	1
1181	B102	Bajaj	M1023	Caliber	P	V10052	Std (110 Cc)	110		28	Petrol	Bajaj Caliber Std (110 Cc) Petrol	0	1	1
30	B102	Bajaj	M1024	Chetak	P	V10053	4 Stroke	125		29	PETROL	Bajaj Chetak 4 Stroke Petrol	0	1	1
870	B102	Bajaj	M1024	Chetak	P	V10054	Chetak	145		30	PETROL	Bajaj Chetak Chetak Petrol	0	1	1
1970	B102	Bajaj	M1024	Chetak	P	V10055	Metallic	145		30	PETROL	Bajaj Chetak Metallic Petrol	0	1	1
1971	B102	Bajaj	M1024	Chetak	P	V10056	Std	145		80	PETROL	Bajaj Chetak Std Petrol	0	1	1
1972	B102	Bajaj	M1025	Classic	P	V10057	Std	145		65	PETROL	Bajaj Classic Std Petrol	0	1	1
871	B102	Bajaj	M1026	Ct 100	P	V10058	Ct 100	100		53	PETROL	Bajaj Ct 100 Ct 100 Petrol	0	1	1
872	B102	Bajaj	M1026	Ct 100	P	V10059	Ct 100 Alloy	100		105	PETROL	Bajaj Ct 100 Ct 100 Alloy Petrol	0	1	1
873	B102	Bajaj	M1026	Ct 100	P	V10060	Ct 100 Spoke	100		104	PETROL	Bajaj Ct 100 Ct 100 Spoke Petrol	0	1	1
874	B102	Bajaj	M1026	Ct 100	P	V10061	Ct 100b Alloy	100		105	PETROL	Bajaj Ct 100 Ct 100b Alloy Petrol	0	1	1
875	B102	Bajaj	M1026	Ct 100	P	V10062	Ct 100b Spoke	100		104	PETROL	Bajaj Ct 100 Ct 100b Spoke Petrol	0	1	1
77	B102	Bajaj	M1026	Ct 100	P	V10063	Deluxe	99		54	PETROL	Bajaj Ct 100 Deluxe Petrol	0	1	1
31	B102	Bajaj	M1026	Ct 100	P	V10064	Std	100		53	PETROL	Bajaj Ct 100 Std Petrol	0	1	1
